Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Roof
07-21-2018 03:53:47;0
08-28-2018 10:08:29;2
08-28-2018 10:08:30;3
08-28-2018 10:08:31;4
08-28-2018 10:08:32;5
08-28-2018 10:08:33;6
08-28-2018 10:08:34;7
08-28-2018 10:08:35;8
08-28-2018 10:08:36;9
08-28-2018 10:08:37;11
08-28-2018 10:08:38;12
08-28-2018 10:08:39;13
08-28-2018 10:08:40;14
08-28-2018 10:08:41;16
08-28-2018 10:08:43;17
08-28-2018 10:08:44;18
08-28-2018 10:08:45;19
08-28-2018 10:08:46;20
08-28-2018 10:08:47;21
08-28-2018 10:08:48;23
08-28-2018 10:08:49;24
08-28-2018 10:08:50;25
08-28-2018 10:08:51;26
08-28-2018 10:08:52;27
08-28-2018 10:08:53;28
08-28-2018 10:08:54;30
08-28-2018 10:08:55;31
08-28-2018 10:08:56;32
08-28-2018 10:08:57;33
08-28-2018 10:08:58;35
08-28-2018 10:08:59;36
08-28-2018 10:09:00;37
08-28-2018 10:09:01;38
08-28-2018 10:09:02;39
08-28-2018 10:09:03;41
08-28-2018 10:09:04;42
08-28-2018 10:09:05;43
08-28-2018 10:09:06;44
08-28-2018 10:09:07;45
08-28-2018 10:09:08;47
08-28-2018 10:09:09;48
08-28-2018 10:09:10;49
08-28-2018 10:09:11;50
08-28-2018 10:09:12;51
08-28-2018 10:09:13;53
08-28-2018 10:09:14;54
08-28-2018 10:09:15;55
08-28-2018 10:09:16;56
08-28-2018 10:09:18;58
08-28-2018 10:09:19;59
08-28-2018 10:09:20;60
08-28-2018 10:09:21;61
08-28-2018 10:09:22;62
08-28-2018 10:09:23;64
08-28-2018 10:09:24;65
08-28-2018 10:09:25;66
08-28-2018 10:09:26;67
08-28-2018 10:09:27;68
08-28-2018 10:09:28;70
08-28-2018 10:09:29;71
08-28-2018 10:09:30;72
08-28-2018 10:09:31;73
08-28-2018 10:09:32;74
08-28-2018 10:09:33;76
08-28-2018 10:09:34;77
08-28-2018 10:09:35;78
08-28-2018 10:09:36;79
08-28-2018 10:09:37;80
08-28-2018 10:09:38;82
08-28-2018 10:09:39;83
08-28-2018 10:09:40;84
08-28-2018 10:09:41;85
08-28-2018 10:09:42;86
08-28-2018 10:09:43;88
08-28-2018 10:09:44;89
08-28-2018 10:09:45;90
08-28-2018 10:09:46;91
08-28-2018 10:09:47;93
08-28-2018 10:09:48;94
08-28-2018 10:09:49;100
08-28-2018 10:19:46;98
08-28-2018 10:19:47;96
08-28-2018 10:19:48;95
08-28-2018 10:19:49;93
08-28-2018 10:19:50;91
08-28-2018 10:19:51;89
08-28-2018 10:19:52;88
08-28-2018 10:19:53;86
08-28-2018 10:19:54;84
08-28-2018 10:19:55;82
08-28-2018 10:19:56;81
08-28-2018 10:19:57;79
08-28-2018 10:19:58;77
08-28-2018 10:19:59;75
08-28-2018 10:20:00;74
08-28-2018 10:20:01;72
08-28-2018 10:20:02;70
08-28-2018 10:20:03;68
08-28-2018 10:20:04;67
08-28-2018 10:20:05;65
08-28-2018 10:20:06;63
08-28-2018 10:20:07;62
08-28-2018 10:20:08;60
08-28-2018 10:20:09;58
08-28-2018 10:20:10;56
08-28-2018 10:20:11;55
08-28-2018 10:20:12;53
08-28-2018 10:20:14;51
08-28-2018 10:20:15;49
08-28-2018 10:20:16;48
08-28-2018 10:20:17;46
08-28-2018 10:20:18;44
08-28-2018 10:20:19;42
08-28-2018 10:20:20;41
08-28-2018 10:20:21;39
08-28-2018 10:20:22;37
08-28-2018 10:20:23;35
08-28-2018 10:20:24;34
08-28-2018 10:20:25;32
08-28-2018 10:20:26;30
08-28-2018 10:20:27;28
08-28-2018 10:20:28;27
08-28-2018 10:20:29;25
08-28-2018 10:20:30;23
08-28-2018 10:20:31;21
08-28-2018 10:20:32;20
08-28-2018 10:20:33;18
08-28-2018 10:20:34;16
08-28-2018 10:20:35;14
08-28-2018 10:20:36;13
08-28-2018 10:20:37;11
08-28-2018 10:20:38;9
08-28-2018 10:20:39;7
08-28-2018 10:20:40;6
08-28-2018 10:20:41;4
08-28-2018 10:20:42;2
08-28-2018 10:20:43;0
08-28-2018 10:55:29;1
08-28-2018 10:55:30;2
08-28-2018 10:55:31;3
08-28-2018 10:55:32;4
08-28-2018 10:55:33;5
08-28-2018 10:55:34;7
08-28-2018 10:55:35;8
08-28-2018 10:55:36;9
08-28-2018 10:55:38;10
08-28-2018 10:55:38;12
08-28-2018 10:55:39;13
08-28-2018 10:55:41;14
08-28-2018 10:55:42;15
08-28-2018 10:55:43;16
08-28-2018 10:55:44;18
08-28-2018 10:55:45;19
08-28-2018 10:55:46;20
08-28-2018 10:55:47;21
08-28-2018 10:55:48;23
08-28-2018 10:55:49;24
08-28-2018 10:55:50;25
08-28-2018 10:55:51;26
08-28-2018 10:55:52;28
08-28-2018 10:55:53;29
08-28-2018 10:55:55;30
08-28-2018 10:55:55;31
08-28-2018 10:55:56;33
08-28-2018 10:55:57;34
08-28-2018 10:55:58;35
08-28-2018 10:56:00;36
08-28-2018 10:56:01;37
08-28-2018 10:56:02;39
08-28-2018 10:56:03;40
08-28-2018 10:56:04;41
08-28-2018 10:56:05;43
08-28-2018 10:56:06;44
08-28-2018 10:56:07;45
08-28-2018 10:56:08;46
08-28-2018 10:56:09;48
08-28-2018 10:56:10;49
08-28-2018 10:56:11;50
08-28-2018 10:56:12;51
08-28-2018 10:56:13;53
08-28-2018 10:56:14;54
08-28-2018 10:56:15;55
08-28-2018 10:56:16;56
08-28-2018 10:56:17;57
08-28-2018 10:56:18;59
08-28-2018 10:56:19;60
08-28-2018 10:56:20;61
08-28-2018 10:56:21;62
08-28-2018 10:56:22;64
08-28-2018 10:56:23;65
08-28-2018 10:56:24;66
08-28-2018 10:56:25;67
08-28-2018 10:56:26;69
08-28-2018 10:56:27;70
08-28-2018 10:56:29;71
08-28-2018 10:56:30;72
08-28-2018 10:56:31;73
08-28-2018 10:56:32;75
08-28-2018 10:56:33;76
08-28-2018 10:56:34;77
08-28-2018 10:56:35;78
08-28-2018 10:56:36;80
08-28-2018 10:56:37;81
08-28-2018 10:56:38;82
08-28-2018 10:56:39;84
08-28-2018 10:56:40;85
08-28-2018 10:56:41;86
08-28-2018 10:56:42;87
08-28-2018 10:56:43;88
08-28-2018 10:56:44;90
08-28-2018 10:56:45;91
08-28-2018 10:56:46;92
08-28-2018 10:56:47;93
08-28-2018 10:56:48;95
08-28-2018 10:56:49;100
08-28-2018 11:15:14;98
08-28-2018 11:15:15;96
08-28-2018 11:15:16;94
08-28-2018 11:15:17;92
08-28-2018 11:15:18;91
08-28-2018 11:15:19;89
08-28-2018 11:15:20;87
08-28-2018 11:15:22;85
08-28-2018 11:15:22;83
08-28-2018 11:15:23;81
08-28-2018 11:15:25;79
08-28-2018 11:15:26;78
08-28-2018 11:15:26;76
08-28-2018 11:15:28;74
08-28-2018 11:15:29;72
08-28-2018 11:15:30;70
08-28-2018 11:15:31;69
08-28-2018 11:15:32;67
08-28-2018 11:15:33;65
08-28-2018 11:15:34;63
08-28-2018 11:15:35;61
08-28-2018 11:15:36;59
08-28-2018 11:15:37;58
08-28-2018 11:15:38;56
08-28-2018 11:15:39;54
08-28-2018 11:15:42;50
08-28-2018 11:15:43;48
08-28-2018 11:15:44;46
08-28-2018 11:15:45;44
08-28-2018 11:15:46;42
08-28-2018 11:15:47;40
08-28-2018 11:15:48;38
08-28-2018 11:15:49;36
08-28-2018 11:15:50;35
08-28-2018 11:15:51;33
08-28-2018 11:15:52;31
08-28-2018 11:15:54;29
08-28-2018 11:15:55;27
08-28-2018 11:15:56;25
08-28-2018 11:15:57;23
08-28-2018 11:15:58;21
08-28-2018 11:15:59;20
08-28-2018 11:16:00;18
08-28-2018 11:16:01;16
08-28-2018 11:16:02;14
08-28-2018 11:16:03;12
08-28-2018 11:16:04;10
08-28-2018 11:16:06;8
08-28-2018 11:16:07;6
08-28-2018 11:16:08;5
08-28-2018 11:16:09;2
08-28-2018 11:16:10;1
08-28-2018 11:16:11;0
08-30-2018 08:00:04;1
08-30-2018 08:00:05;2
08-30-2018 08:00:07;3
08-30-2018 08:00:08;4
08-30-2018 08:00:09;5
08-30-2018 08:00:10;6
08-30-2018 08:00:11;7
08-30-2018 08:00:12;8
08-30-2018 08:00:13;9
08-30-2018 08:00:14;10
08-30-2018 08:00:15;11
08-30-2018 08:00:16;12
08-30-2018 08:00:17;13
08-30-2018 08:00:18;14
08-30-2018 08:00:20;15
08-30-2018 08:00:21;16
08-30-2018 08:00:23;17
08-30-2018 08:00:24;18
08-30-2018 08:00:25;19
08-30-2018 08:00:26;20
08-30-2018 08:00:27;21
08-30-2018 08:00:28;22
08-30-2018 08:00:29;23
08-30-2018 08:00:30;24
08-30-2018 08:00:31;25
08-30-2018 08:00:32;26
08-30-2018 08:00:33;27
08-30-2018 08:00:34;28
08-30-2018 08:00:35;29
08-30-2018 08:00:36;30
08-30-2018 08:00:38;31
08-30-2018 08:00:39;32
08-30-2018 08:00:40;33
08-30-2018 08:00:41;34
08-30-2018 08:00:42;35
08-30-2018 08:03:03;34
08-30-2018 08:03:04;33
08-30-2018 08:03:05;32
08-30-2018 08:03:06;31
08-30-2018 08:03:07;30
08-30-2018 08:03:08;29
08-30-2018 08:03:09;28
08-30-2018 08:03:10;27
08-30-2018 08:03:11;26
08-30-2018 08:03:13;25
08-30-2018 08:03:14;24
08-30-2018 08:03:15;23
08-30-2018 08:03:16;22
08-30-2018 08:03:17;21
08-30-2018 08:03:18;20
08-30-2018 08:03:19;19
08-30-2018 08:03:20;18
08-30-2018 08:03:21;17
08-30-2018 08:03:22;16
08-30-2018 08:03:23;15
08-30-2018 08:03:24;14
08-30-2018 08:03:25;13
08-30-2018 08:03:26;12
08-30-2018 08:03:27;11
08-30-2018 08:03:28;10
08-30-2018 08:03:29;9
08-30-2018 08:03:30;8
08-30-2018 08:03:31;7
08-30-2018 08:03:32;6
08-30-2018 08:03:34;5
08-30-2018 08:03:35;4
08-30-2018 08:03:36;3
08-30-2018 08:03:37;2
08-30-2018 08:03:38;0
08-30-2018 10:58:33;1
08-30-2018 10:58:34;2
08-30-2018 10:58:35;3
08-30-2018 10:58:36;4
08-30-2018 10:58:37;5
08-30-2018 10:59:06;4
08-30-2018 10:59:07;2
08-30-2018 10:59:09;0
08-30-2018 11:10:37;1
08-30-2018 11:10:37;2
08-30-2018 11:10:38;3
08-30-2018 11:10:39;4
08-30-2018 11:10:40;5
