Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position South
07-21-2018 03:53:38;0
08-28-2018 09:31:38;1
08-28-2018 09:31:39;4
08-28-2018 09:31:40;6
08-28-2018 09:31:41;9
08-28-2018 09:31:43;12
08-28-2018 09:31:44;15
08-28-2018 09:31:45;17
08-28-2018 09:31:46;20
08-28-2018 09:31:47;23
08-28-2018 09:31:48;26
08-28-2018 09:31:49;29
08-28-2018 09:31:50;32
08-28-2018 09:31:51;34
08-28-2018 09:31:52;37
08-28-2018 09:31:53;40
08-28-2018 09:31:54;43
08-28-2018 09:31:55;46
08-28-2018 09:31:56;49
08-28-2018 09:31:57;51
08-28-2018 09:31:58;54
08-28-2018 09:31:59;57
08-28-2018 09:32:00;60
08-28-2018 09:32:01;63
08-28-2018 09:32:02;66
08-28-2018 09:32:03;68
08-28-2018 09:32:04;71
08-28-2018 09:32:05;75
08-28-2018 09:32:06;77
08-28-2018 09:32:07;80
08-28-2018 09:32:08;83
08-28-2018 09:32:09;86
08-28-2018 09:32:10;89
08-28-2018 09:32:11;91
08-28-2018 09:32:12;94
08-28-2018 09:45:33;90
08-28-2018 09:45:34;87
08-28-2018 09:45:35;83
08-28-2018 09:45:36;79
08-28-2018 09:45:37;75
08-28-2018 09:45:38;71
08-28-2018 09:45:39;67
08-28-2018 09:45:40;62
08-28-2018 09:45:41;59
08-28-2018 09:45:42;54
08-28-2018 09:45:43;51
08-28-2018 09:45:44;46
08-28-2018 09:45:45;42
08-28-2018 09:45:47;38
08-28-2018 09:45:48;34
08-28-2018 09:45:49;30
08-28-2018 09:45:50;26
08-28-2018 09:45:51;22
08-28-2018 09:45:52;18
08-28-2018 09:45:53;14
08-28-2018 09:45:54;10
08-28-2018 09:45:55;6
08-28-2018 09:45:56;3
08-28-2018 09:45:57;2
08-28-2018 09:45:58;0
08-28-2018 10:55:29;2
08-28-2018 10:55:30;5
08-28-2018 10:55:31;8
08-28-2018 10:55:32;10
08-28-2018 10:55:33;13
08-28-2018 10:55:34;16
08-28-2018 10:55:35;19
08-28-2018 10:55:36;22
08-28-2018 10:55:37;25
08-28-2018 10:55:38;28
08-28-2018 10:55:39;31
08-28-2018 10:55:41;34
08-28-2018 10:55:42;37
08-28-2018 10:55:43;40
08-28-2018 10:55:44;43
08-28-2018 10:55:45;46
08-28-2018 10:55:46;49
08-28-2018 10:55:47;52
08-28-2018 10:55:48;55
08-28-2018 10:55:49;58
08-28-2018 10:55:50;61
08-28-2018 10:55:51;64
08-28-2018 10:55:52;67
08-28-2018 10:55:53;70
08-28-2018 10:55:55;73
08-28-2018 10:55:55;76
08-28-2018 10:55:56;79
08-28-2018 10:55:57;82
08-28-2018 10:55:58;84
08-28-2018 10:55:59;87
08-28-2018 10:56:01;90
08-28-2018 10:56:02;94
08-28-2018 11:15:14;89
08-28-2018 11:15:15;85
08-28-2018 11:15:16;81
08-28-2018 11:15:17;77
08-28-2018 11:15:18;73
08-28-2018 11:15:19;69
08-28-2018 11:15:20;64
08-28-2018 11:15:21;60
08-28-2018 11:15:22;56
08-28-2018 11:15:23;52
08-28-2018 11:15:25;48
08-28-2018 11:15:25;43
08-28-2018 11:15:27;39
08-28-2018 11:15:27;35
08-28-2018 11:15:29;31
08-28-2018 11:15:30;27
08-28-2018 11:15:31;22
08-28-2018 11:15:32;18
08-28-2018 11:15:33;14
08-28-2018 11:15:34;10
08-28-2018 11:15:35;6
08-28-2018 11:15:36;3
08-28-2018 11:15:37;2
08-28-2018 11:15:38;0
08-30-2018 08:00:04;1
08-30-2018 08:00:05;2
08-30-2018 08:00:06;3
08-30-2018 08:00:07;4
08-30-2018 08:00:08;6
08-30-2018 08:00:09;7
08-30-2018 08:00:10;8
