Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heat Valve Status
05-31-2018 22:00:13;100
07-05-2018 21:05:03;100
07-05-2018 21:05:06;0
07-05-2018 21:42:04;100
07-05-2018 21:42:05;0
07-05-2018 21:56:03;100
07-05-2018 21:56:05;0
07-06-2018 00:08:05;100
07-06-2018 00:08:06;0
07-06-2018 00:47:04;100
07-06-2018 00:47:06;0
07-06-2018 01:54:04;100
07-06-2018 01:54:05;0
07-06-2018 02:02:03;100
07-06-2018 02:02:05;0
07-06-2018 02:25:04;100
07-06-2018 02:25:06;0
07-06-2018 02:41:05;100
07-06-2018 02:41:06;0
07-06-2018 02:42:03;100
07-06-2018 02:42:06;0
07-06-2018 02:54:04;100
07-06-2018 02:54:05;0
07-06-2018 03:06:04;100
07-06-2018 03:06:05;0
07-06-2018 03:14:03;100
07-06-2018 03:14:06;0
07-06-2018 03:28:03;100
07-06-2018 03:28:07;0
07-06-2018 03:37:03;100
07-06-2018 03:37:05;0
07-06-2018 03:59:03;100
07-06-2018 03:59:05;0
07-06-2018 04:00:03;100
07-06-2018 04:00:06;0
07-06-2018 04:07:03;100
07-06-2018 04:07:05;0
07-06-2018 04:42:05;100
07-06-2018 04:42:06;0
07-06-2018 04:44:04;100
07-06-2018 04:44:05;0
07-06-2018 04:46:03;100
07-06-2018 04:46:07;0
07-06-2018 05:32:05;100
07-06-2018 05:32:08;0
07-06-2018 05:41:03;100
07-06-2018 05:41:05;0
07-06-2018 05:45:04;100
07-06-2018 05:45:05;0
07-06-2018 05:52:03;100
07-06-2018 05:52:06;0
07-06-2018 06:49:05;100
07-06-2018 06:49:06;0
07-06-2018 07:14:03;100
07-06-2018 07:14:07;0
07-06-2018 07:18:03;100
07-06-2018 07:18:05;0
07-06-2018 07:22:03;100
07-06-2018 07:22:06;0
07-06-2018 09:08:37;100
07-06-2018 09:38:13;100
07-06-2018 09:44:20;100
07-10-2018 07:04:04;0
07-10-2018 10:44:23;100
07-12-2018 09:32:07;100
07-12-2018 10:17:14;100
08-02-2018 14:16:59;100
08-24-2018 05:03:04;100
08-27-2018 08:18:17;100
08-27-2018 09:58:37;100
08-28-2018 09:29:01;0
08-28-2018 09:29:09;100
08-28-2018 09:29:17;0
08-28-2018 09:32:50;100
08-28-2018 11:15:43;100
08-29-2018 08:45:15;100
08-30-2018 10:58:31;0
08-30-2018 10:59:06;100
08-30-2018 10:59:36;0
08-30-2018 11:00:05;100
08-30-2018 11:00:16;0
08-30-2018 11:01:04;100
08-30-2018 11:01:18;0
08-30-2018 11:02:04;100
08-30-2018 14:34:03;100
08-31-2018 23:02:04;0
08-31-2018 23:02:08;100
08-31-2018 23:07:03;0
08-31-2018 23:07:08;100
09-01-2018 00:23:03;0
09-01-2018 00:23:07;100
09-01-2018 00:25:05;0
09-01-2018 00:25:09;100
09-01-2018 01:28:03;0
09-01-2018 01:28:07;100
09-01-2018 01:32:02;0
09-01-2018 01:32:07;100
09-01-2018 03:35:03;0
09-01-2018 03:35:07;100
09-01-2018 06:54:03;0
09-01-2018 06:54:07;100
09-01-2018 07:05:03;0
09-01-2018 07:05:07;100
09-02-2018 05:00:04;0
09-02-2018 05:00:09;100
09-02-2018 06:56:08;60
09-02-2018 06:59:02;62
09-02-2018 07:01:02;63
09-02-2018 07:03:02;64
09-02-2018 07:05:03;65
09-02-2018 07:07:02;67
09-02-2018 07:09:03;68
09-02-2018 07:11:03;69
09-02-2018 07:13:02;70
09-02-2018 07:15:03;71
09-02-2018 07:17:03;73
09-02-2018 07:19:02;74
09-02-2018 07:21:02;75
09-02-2018 07:23:03;76
09-02-2018 07:25:02;77
09-02-2018 07:27:03;79
09-02-2018 07:29:02;80
09-02-2018 07:31:02;81
09-02-2018 07:33:02;82
09-02-2018 07:35:02;83
09-02-2018 07:37:03;85
09-02-2018 07:39:03;86
09-02-2018 07:41:03;87
09-02-2018 07:43:03;88
09-02-2018 07:45:02;89
09-02-2018 07:47:02;91
09-02-2018 07:49:02;92
09-02-2018 07:51:02;93
09-02-2018 07:53:02;94
09-02-2018 07:55:03;95
09-02-2018 07:57:02;97
09-02-2018 07:59:02;98
09-02-2018 08:01:02;99
09-02-2018 08:03:03;100
09-05-2018 03:22:46;100
09-05-2018 03:24:42;100
09-07-2018 03:19:42;100
09-07-2018 04:09:27;100
09-10-2018 03:01:50;100
09-10-2018 03:21:55;100
09-10-2018 03:40:11;100
09-11-2018 07:52:03;99
09-11-2018 07:56:02;100
09-11-2018 08:00:03;98
09-11-2018 08:04:02;99
09-11-2018 08:10:01;98
09-11-2018 08:14:02;99
09-11-2018 08:18:03;98
09-11-2018 08:20:03;99
09-11-2018 08:22:03;97
09-11-2018 08:24:02;98
09-11-2018 08:26:02;97
09-11-2018 08:28:02;98
09-11-2018 08:30:02;97
09-11-2018 08:36:02;96
09-11-2018 08:40:03;97
09-11-2018 08:42:04;96
09-11-2018 08:48:02;95
09-11-2018 08:58:02;94
09-11-2018 09:08:03;93
09-11-2018 09:18:02;92
09-11-2018 09:28:03;91
09-11-2018 09:38:02;90
09-11-2018 09:48:03;89
09-11-2018 09:58:03;88
09-11-2018 10:00:02;87
09-11-2018 10:08:03;86
09-11-2018 10:10:02;87
09-11-2018 10:12:03;85
09-11-2018 10:14:02;86
09-11-2018 10:18:03;84
09-11-2018 10:24:03;83
09-11-2018 10:28:02;82
09-11-2018 10:34:03;81
09-11-2018 10:38:03;80
