Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Occupancy
06-27-2018 20:56:28;0
06-28-2018 10:09:15;-1
06-28-2018 10:14:19;0
07-02-2018 10:06:27;-1
07-02-2018 10:14:12;0
07-02-2018 10:17:09;-1
07-02-2018 10:23:58;0
07-02-2018 10:31:38;-1
07-02-2018 11:41:51;0
07-03-2018 06:22:34;-1
07-03-2018 06:33:30;0
07-03-2018 08:00:41;-1
07-03-2018 08:20:12;0
07-03-2018 09:29:33;-1
07-03-2018 09:35:00;0
07-03-2018 13:44:38;-1
07-03-2018 13:51:59;0
07-03-2018 14:10:51;-1
07-03-2018 14:15:52;0
07-05-2018 09:16:22;-1
07-05-2018 09:25:56;0
07-05-2018 09:43:51;-1
07-05-2018 09:50:26;0
07-05-2018 11:13:09;-1
07-05-2018 11:18:40;0
07-05-2018 11:44:37;-1
07-05-2018 11:50:59;0
07-05-2018 12:44:51;-1
07-05-2018 12:58:31;0
07-05-2018 16:27:35;-1
07-05-2018 16:34:42;0
07-06-2018 06:23:17;-1
07-06-2018 06:28:40;0
07-06-2018 09:07:14;-1
07-06-2018 09:13:05;0
07-06-2018 10:12:19;-1
07-06-2018 10:19:22;0
07-06-2018 14:41:01;-1
07-06-2018 14:48:30;0
07-06-2018 17:38:16;-1
07-06-2018 17:43:26;0
07-06-2018 18:14:09;-1
07-06-2018 18:19:33;0
07-08-2018 15:41:01;-1
07-08-2018 15:46:34;0
07-09-2018 07:08:31;-1
07-09-2018 07:17:53;0
07-09-2018 07:29:35;-1
07-09-2018 07:44:17;0
07-09-2018 07:44:22;-1
07-09-2018 07:59:00;0
07-09-2018 08:03:26;-1
07-09-2018 08:37:59;0
07-09-2018 08:43:10;-1
07-09-2018 08:54:23;0
07-09-2018 09:08:57;-1
07-09-2018 09:17:56;0
07-09-2018 09:32:44;-1
07-09-2018 09:37:51;0
07-09-2018 09:52:08;-1
07-09-2018 09:59:03;0
07-09-2018 10:00:14;-1
07-09-2018 10:05:17;0
07-09-2018 10:06:15;-1
07-09-2018 10:11:19;0
07-09-2018 10:13:31;-1
07-09-2018 10:19:50;0
07-09-2018 10:26:57;-1
07-09-2018 10:33:43;0
07-09-2018 10:35:08;-1
07-09-2018 10:49:34;0
07-09-2018 10:51:29;-1
07-09-2018 10:58:54;0
07-09-2018 11:01:20;-1
07-09-2018 11:06:44;0
07-09-2018 11:15:04;-1
07-09-2018 11:20:05;0
07-09-2018 11:26:51;-1
07-09-2018 11:34:33;0
07-09-2018 11:50:06;-1
07-09-2018 11:55:53;0
07-09-2018 12:20:37;-1
07-09-2018 12:30:53;0
07-09-2018 12:41:17;-1
07-09-2018 12:52:24;0
07-09-2018 13:06:34;-1
07-09-2018 13:11:35;0
07-09-2018 13:14:50;-1
07-09-2018 13:20:25;0
07-09-2018 13:42:03;-1
07-09-2018 13:47:37;0
07-09-2018 13:49:39;-1
07-09-2018 14:02:26;0
07-09-2018 14:10:53;-1
07-09-2018 14:16:01;0
07-09-2018 16:37:20;-1
07-09-2018 16:43:00;0
07-09-2018 17:43:48;-1
07-09-2018 17:51:57;0
07-09-2018 20:14:05;-1
07-09-2018 20:19:35;0
07-09-2018 22:44:10;-1
07-09-2018 22:49:36;0
07-10-2018 06:31:53;-1
07-10-2018 06:38:55;0
07-10-2018 06:59:54;-1
07-10-2018 07:10:27;0
07-10-2018 07:12:03;-1
07-10-2018 07:39:42;0
07-10-2018 07:56:15;-1
07-10-2018 08:58:53;0
07-10-2018 09:06:06;-1
07-10-2018 09:11:25;0
07-10-2018 09:19:59;-1
07-10-2018 09:28:14;0
07-10-2018 09:28:46;-1
07-10-2018 09:34:40;0
07-10-2018 09:36:31;-1
07-10-2018 09:44:56;0
07-10-2018 09:45:42;-1
07-10-2018 09:50:56;0
07-10-2018 09:56:28;-1
07-10-2018 10:08:38;0
07-10-2018 10:09:51;-1
07-10-2018 10:24:36;0
07-10-2018 10:24:52;-1
07-10-2018 10:50:53;0
07-10-2018 10:51:25;-1
07-10-2018 11:09:51;0
07-10-2018 11:11:14;-1
