Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position South
06-27-2018 05:12:15;0
07-05-2018 09:44:24;3
07-05-2018 09:44:25;6
07-05-2018 09:44:26;9
07-05-2018 09:44:28;11
07-05-2018 09:44:29;14
07-05-2018 09:44:30;17
07-05-2018 09:44:31;20
07-05-2018 09:44:32;23
07-05-2018 09:44:33;26
07-05-2018 09:44:34;29
07-05-2018 09:44:35;32
07-05-2018 09:44:36;35
07-05-2018 09:44:37;38
07-05-2018 09:44:38;41
07-05-2018 09:44:39;44
07-05-2018 09:44:40;47
07-05-2018 09:44:41;50
07-05-2018 09:44:42;52
07-05-2018 09:44:43;56
07-05-2018 09:44:44;59
07-05-2018 09:44:45;62
07-05-2018 09:44:47;65
07-05-2018 09:44:48;67
07-05-2018 09:44:49;70
07-05-2018 09:44:50;73
07-05-2018 09:44:51;76
07-05-2018 09:44:52;79
07-05-2018 09:44:53;82
07-05-2018 09:44:54;85
07-05-2018 09:44:55;88
07-05-2018 09:44:56;91
07-05-2018 09:44:57;93
07-05-2018 09:44:58;94
07-05-2018 10:22:47;92
07-05-2018 10:22:48;91
07-05-2018 10:22:49;90
07-05-2018 10:22:50;89
07-05-2018 10:22:51;87
07-05-2018 10:22:52;86
07-05-2018 10:22:53;85
07-05-2018 10:22:54;84
07-05-2018 10:22:55;82
07-05-2018 10:22:56;81
07-05-2018 10:22:57;80
07-05-2018 10:22:58;78
07-05-2018 10:22:59;77
07-05-2018 10:23:00;76
07-05-2018 10:23:01;74
07-05-2018 10:23:02;73
07-05-2018 10:23:03;71
07-05-2018 10:23:05;70
07-05-2018 10:23:06;69
07-05-2018 10:23:07;67
07-05-2018 10:23:08;66
07-05-2018 10:23:09;65
07-05-2018 10:23:10;63
07-05-2018 10:23:11;62
07-05-2018 10:23:12;61
07-05-2018 10:23:13;59
07-05-2018 10:23:14;58
07-05-2018 10:23:15;57
07-05-2018 10:23:16;56
07-05-2018 10:23:17;54
07-05-2018 10:23:18;52
07-05-2018 10:23:19;51
07-05-2018 10:23:20;50
07-05-2018 10:23:21;48
07-05-2018 10:23:22;47
07-05-2018 10:23:24;46
07-05-2018 10:23:25;44
07-05-2018 10:23:26;43
07-05-2018 10:23:27;41
07-05-2018 10:23:28;40
07-05-2018 10:23:29;39
07-05-2018 10:23:30;37
07-05-2018 10:23:31;36
07-05-2018 10:23:32;35
07-05-2018 10:23:33;33
07-05-2018 10:23:34;32
07-05-2018 10:23:35;30
07-05-2018 10:23:36;29
07-05-2018 10:23:37;28
07-05-2018 10:23:38;27
07-05-2018 10:23:39;25
07-05-2018 10:23:40;24
07-05-2018 10:23:41;22
07-05-2018 10:23:42;21
07-05-2018 10:23:43;19
07-05-2018 10:23:45;18
07-05-2018 10:23:46;17
07-05-2018 10:23:47;15
07-05-2018 10:23:48;14
07-05-2018 10:23:49;13
07-05-2018 10:23:50;11
07-05-2018 10:23:51;10
07-05-2018 10:23:52;9
07-05-2018 10:23:53;7
07-05-2018 10:23:55;6
07-05-2018 10:23:57;5
07-05-2018 10:23:58;4
07-05-2018 10:24:00;3
07-05-2018 10:24:02;2
07-05-2018 10:24:04;1
07-05-2018 10:24:05;0
07-05-2018 12:45:31;2
07-05-2018 12:45:32;4
07-05-2018 12:45:33;7
07-05-2018 12:45:34;10
07-05-2018 12:45:35;13
07-05-2018 12:45:36;16
07-05-2018 12:45:37;19
07-05-2018 12:45:38;22
07-05-2018 12:45:39;24
07-05-2018 12:45:40;27
07-05-2018 12:45:42;30
07-05-2018 12:45:43;33
07-05-2018 12:45:43;36
07-05-2018 12:45:45;39
07-05-2018 12:45:46;42
07-05-2018 12:45:47;45
07-05-2018 12:45:48;48
07-05-2018 12:45:49;51
07-05-2018 12:45:50;53
07-05-2018 12:45:51;56
07-05-2018 12:45:52;59
07-05-2018 12:45:53;62
07-05-2018 12:45:54;65
07-05-2018 12:45:55;68
07-05-2018 12:45:56;71
07-05-2018 12:45:57;74
07-05-2018 12:45:58;77
07-05-2018 12:45:59;80
07-05-2018 12:46:00;83
07-05-2018 12:46:01;86
07-05-2018 12:46:02;89
07-05-2018 12:46:03;92
07-05-2018 12:46:04;94
07-05-2018 13:23:05;92
07-05-2018 13:23:06;91
07-05-2018 13:23:07;90
07-05-2018 13:23:08;89
07-05-2018 13:23:09;87
07-05-2018 13:23:10;86
07-05-2018 13:23:11;84
07-05-2018 13:23:12;83
07-05-2018 13:23:13;82
07-05-2018 13:23:14;81
07-05-2018 13:23:15;79
07-05-2018 13:23:16;78
07-05-2018 13:23:17;76
07-05-2018 13:23:18;75
07-05-2018 13:23:19;74
07-05-2018 13:23:20;73
07-05-2018 13:23:21;71
07-05-2018 13:23:22;70
07-05-2018 13:23:23;68
07-05-2018 13:23:24;67
07-05-2018 13:23:25;66
07-05-2018 13:23:26;65
07-05-2018 13:23:27;63
07-05-2018 13:23:28;62
07-05-2018 13:23:29;60
07-05-2018 13:23:30;59
07-05-2018 13:23:31;58
07-05-2018 13:23:33;56
07-05-2018 13:23:34;55
07-05-2018 13:23:35;54
07-05-2018 13:23:36;52
07-05-2018 13:23:37;51
07-05-2018 13:23:38;50
07-05-2018 13:23:39;48
07-05-2018 13:23:40;47
07-05-2018 13:23:41;46
07-05-2018 13:23:42;44
07-05-2018 13:23:43;43
07-05-2018 13:23:44;42
07-05-2018 13:23:45;40
07-05-2018 13:23:46;39
07-05-2018 13:23:47;38
07-05-2018 13:23:48;36
07-05-2018 13:23:49;35
07-05-2018 13:23:50;33
07-05-2018 13:23:51;32
07-05-2018 13:23:52;31
07-05-2018 13:23:53;29
07-05-2018 13:23:54;28
