Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Temperature set point
06-27-2018 05:52:04;71.6
07-05-2018 20:07:11;32
07-05-2018 20:08:04;71.6
07-05-2018 21:05:03;69.8
07-05-2018 21:05:06;71.6
07-06-2018 03:28:04;69.8
07-06-2018 03:28:05;71.6
07-06-2018 04:00:03;69.8
07-06-2018 04:00:05;71.6
07-06-2018 04:46:04;69.8
07-06-2018 04:46:05;71.6
07-06-2018 05:32:04;69.8
07-06-2018 05:32:05;71.6
07-06-2018 07:14:04;69.8
07-06-2018 07:14:05;71.6
07-06-2018 07:22:03;69.8
07-06-2018 07:22:05;71.6
07-06-2018 09:38:12;71.6
07-06-2018 09:44:16;71.6
07-06-2018 09:45:01;69.8
07-06-2018 09:45:05;71.6
07-07-2018 01:43:00;64.4
07-07-2018 01:44:01;69.8
07-07-2018 06:47:05;71.6
07-08-2018 02:08:01;64.4
07-08-2018 02:09:01;69.8
07-08-2018 06:45:05;71.6
07-12-2018 04:04:02;64.4
07-12-2018 04:05:01;69.8
07-12-2018 04:08:06;71.6
07-12-2018 04:10:02;64.4
07-12-2018 04:11:01;69.8
07-12-2018 06:35:04;71.6
07-12-2018 09:32:06;71.6
07-12-2018 10:14:22;71.6
07-12-2018 10:15:00;69.8
07-12-2018 10:15:05;71.6
07-12-2018 12:33:53;69.8
07-12-2018 12:33:58;71.6
07-12-2018 12:34:02;69.8
07-12-2018 12:34:06;71.6
07-19-2018 02:56:02;64.4
07-19-2018 02:57:01;69.8
07-19-2018 07:36:06;71.6
07-20-2018 05:22:59;64.4
07-20-2018 05:23:59;69.8
07-20-2018 05:24:04;71.6
07-20-2018 05:28:00;64.4
07-20-2018 05:28:59;69.8
07-20-2018 05:29:04;71.6
07-20-2018 05:30:01;64.4
07-20-2018 05:31:01;69.8
07-20-2018 05:35:04;71.6
07-20-2018 05:36:01;64.4
07-20-2018 05:37:01;69.8
07-20-2018 06:15:06;71.6
07-20-2018 06:19:01;69.8
07-20-2018 06:19:06;71.6
07-21-2018 03:52:02;64.4
07-21-2018 03:53:01;69.8
07-21-2018 07:10:06;71.6
08-02-2018 14:13:03;69.8
08-02-2018 14:13:04;71.6
08-24-2018 00:34:59;64.4
08-24-2018 00:35:59;69.8
08-24-2018 00:36:04;71.6
08-24-2018 00:39:59;64.4
08-24-2018 00:41:01;69.8
08-24-2018 00:42:04;71.6
08-24-2018 00:43:01;64.4
08-24-2018 00:44:01;69.8
08-24-2018 05:03:04;69.8
