Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Start pulse ventilation
06-27-2018 06:00:00;-1
07-03-2018 22:00:01;0
07-03-2018 23:00:00;-1
07-03-2018 23:00:01;0
07-04-2018;-1
07-04-2018 00:00:01;0
07-04-2018 02:00:00;-1
07-04-2018 02:00:01;0
07-04-2018 03:00:00;-1
07-04-2018 03:00:01;0
07-04-2018 04:00:00;-1
07-04-2018 04:00:01;0
07-04-2018 05:00:00;-1
07-04-2018 05:00:01;0
07-04-2018 06:00:00;-1
07-04-2018 22:00:01;0
07-04-2018 23:00:00;-1
07-04-2018 23:00:01;0
07-05-2018;-1
07-05-2018 00:00:01;0
07-05-2018 01:00:00;-1
07-05-2018 01:00:01;0
07-05-2018 02:00:00;-1
07-05-2018 02:00:01;0
07-05-2018 03:00:00;-1
07-05-2018 03:00:01;0
07-05-2018 05:00:00;-1
07-05-2018 05:00:01;0
07-05-2018 06:00:00;-1
07-05-2018 21:00:00;-1
07-05-2018 21:00:01;0
07-05-2018 22:00:00;-1
07-05-2018 22:00:01;0
07-05-2018 23:00:00;-1
07-05-2018 23:00:01;0
07-06-2018;-1
07-06-2018 00:00:01;0
07-06-2018 01:00:00;-1
07-06-2018 01:00:01;0
07-06-2018 02:00:00;-1
07-06-2018 02:00:01;0
07-06-2018 03:00:00;-1
07-06-2018 03:00:01;0
07-06-2018 04:00:00;-1
07-06-2018 04:00:01;0
07-06-2018 05:00:00;-1
07-06-2018 05:00:01;0
07-06-2018 06:00:00;-1
07-06-2018 06:00:01;0
07-06-2018 08:00:00;-1
07-06-2018 08:00:01;0
07-06-2018 09:00:00;-1
07-06-2018 09:00:01;0
07-06-2018 10:00:00;-1
07-06-2018 10:00:01;0
07-06-2018 11:00:00;-1
07-06-2018 22:00:01;0
07-06-2018 23:00:00;-1
07-06-2018 23:00:01;0
07-09-2018;-1
07-09-2018 00:00:01;0
07-09-2018 01:00:00;-1
07-09-2018 01:00:01;0
07-09-2018 02:00:00;-1
07-09-2018 02:00:01;0
07-09-2018 04:00:00;-1
07-09-2018 04:00:01;0
07-09-2018 06:00:00;-1
07-09-2018 22:00:01;0
07-09-2018 23:00:00;-1
07-09-2018 23:00:01;0
07-10-2018;-1
07-10-2018 00:00:01;0
07-10-2018 02:00:00;-1
07-10-2018 02:00:01;0
07-10-2018 03:00:00;-1
07-10-2018 03:00:01;0
07-10-2018 06:00:00;-1
07-10-2018 22:00:01;0
07-10-2018 23:00:00;-1
07-10-2018 23:00:01;0
07-11-2018;-1
07-11-2018 00:00:01;0
07-11-2018 01:00:00;-1
07-11-2018 01:00:01;0
07-11-2018 02:00:00;-1
07-11-2018 02:00:01;0
07-11-2018 03:00:00;-1
07-11-2018 03:00:01;0
07-11-2018 04:00:00;-1
07-11-2018 04:00:01;0
07-11-2018 06:00:00;-1
07-11-2018 22:00:01;0
07-12-2018 01:00:00;-1
07-12-2018 01:00:01;0
07-12-2018 02:00:00;-1
07-12-2018 02:00:01;0
07-12-2018 03:00:00;-1
07-12-2018 03:00:01;0
07-12-2018 04:00:00;-1
07-12-2018 04:00:01;0
07-12-2018 05:00:00;-1
07-12-2018 11:00:00;-1
07-12-2018 11:00:01;0
07-12-2018 12:00:00;-1
07-12-2018 22:00:01;0
07-12-2018 23:00:00;-1
07-12-2018 23:00:01;0
07-13-2018;-1
07-13-2018 00:00:01;0
