Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening
06-07-2018 12:28:19;0
07-05-2018 09:43:49;1
07-05-2018 09:43:51;3
07-05-2018 09:43:52;6
07-05-2018 09:43:53;9
07-05-2018 09:43:54;11
07-05-2018 09:43:56;14
07-05-2018 09:43:57;16
07-05-2018 09:43:58;19
07-05-2018 09:44:00;21
07-05-2018 09:44:01;24
07-05-2018 09:44:02;26
07-05-2018 09:44:03;29
07-05-2018 09:44:04;31
07-05-2018 09:44:06;34
07-05-2018 20:11:25;34
07-06-2018 09:40:05;34
07-06-2018 09:45:07;34
07-06-2018 11:26:14;32
07-06-2018 11:26:16;28
07-06-2018 11:26:17;24
07-06-2018 11:26:18;21
07-06-2018 11:26:20;17
07-06-2018 11:26:21;13
07-06-2018 11:26:23;10
07-06-2018 11:26:24;6
07-06-2018 11:26:25;2
07-06-2018 11:26:27;0
07-10-2018 16:25:45;2
07-10-2018 16:25:46;5
07-10-2018 16:25:48;7
07-10-2018 16:25:49;10
07-10-2018 16:25:50;13
07-10-2018 16:25:52;16
07-10-2018 16:25:53;18
07-10-2018 16:25:54;21
07-10-2018 16:25:56;24
07-10-2018 16:25:57;27
07-10-2018 16:25:58;29
07-10-2018 16:26:00;32
07-10-2018 16:26:01;34
07-10-2018 19:37:38;32
07-10-2018 19:37:40;28
07-10-2018 19:37:41;23
07-10-2018 19:37:43;19
07-10-2018 19:37:44;15
07-10-2018 19:37:46;12
07-10-2018 19:37:47;8
07-10-2018 19:37:49;4
07-10-2018 19:37:50;0
07-11-2018 09:21:25;1
07-11-2018 09:21:26;4
07-11-2018 09:21:27;7
07-11-2018 09:21:29;9
07-11-2018 09:21:30;12
07-11-2018 09:21:31;15
07-11-2018 09:21:33;17
07-11-2018 09:21:34;20
07-11-2018 09:21:35;23
07-11-2018 09:21:37;25
07-11-2018 09:21:38;28
07-11-2018 09:21:39;30
07-11-2018 09:21:41;33
07-11-2018 09:21:42;34
07-11-2018 10:12:31;32
07-11-2018 10:12:32;30
07-11-2018 10:12:34;27
07-11-2018 10:12:35;24
07-11-2018 10:12:36;22
07-11-2018 10:12:37;19
07-11-2018 10:12:39;20
07-11-2018 10:12:40;22
07-11-2018 10:12:41;24
07-11-2018 10:12:42;27
07-11-2018 10:12:44;29
07-11-2018 10:12:45;32
07-11-2018 10:12:46;34
07-11-2018 19:50:51;33
07-11-2018 19:50:52;30
07-11-2018 19:50:54;28
07-11-2018 19:50:55;25
07-11-2018 19:50:56;27
07-11-2018 19:50:58;29
07-11-2018 19:50:59;32
07-11-2018 19:51:00;34
07-11-2018 19:51:08;33
07-11-2018 19:51:10;30
07-11-2018 19:51:11;28
07-11-2018 19:51:12;25
07-11-2018 19:51:13;23
07-11-2018 19:51:14;20
07-11-2018 19:51:16;19
07-11-2018 19:51:17;22
07-11-2018 19:51:18;24
07-11-2018 19:51:19;27
07-11-2018 19:51:21;30
07-11-2018 19:51:22;32
07-11-2018 19:51:23;34
07-11-2018 19:52:03;33
07-11-2018 19:52:04;31
07-11-2018 19:52:06;28
07-11-2018 19:52:07;26
07-11-2018 19:52:08;23
07-11-2018 19:52:09;20
07-11-2018 19:52:12;23
07-11-2018 19:52:13;25
07-11-2018 19:52:14;28
07-11-2018 19:52:15;30
07-11-2018 19:52:17;33
07-11-2018 19:52:18;34
07-12-2018 09:33:55;34
07-12-2018 10:19:05;34
07-14-2018 22:04:02;32
07-14-2018 22:04:04;28
07-14-2018 22:04:05;24
07-14-2018 22:04:07;21
07-14-2018 22:04:08;17
