Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Heating status
06-27-2018 05:52:03;1
06-30-2018 00:01:00;4
07-02-2018 00:01:00;1
07-03-2018 22:01:00;4
07-04-2018 06:01:00;1
07-04-2018 22:01:00;4
07-05-2018 06:01:00;1
07-05-2018 20:08:03;1
07-05-2018 21:05:02;33
07-05-2018 21:05:05;1
07-05-2018 22:01:00;4
07-06-2018 03:28:03;36
07-06-2018 03:28:04;4
07-06-2018 04:00:02;36
07-06-2018 04:00:04;4
07-06-2018 04:46:03;36
07-06-2018 04:46:04;4
07-06-2018 05:32:03;36
07-06-2018 05:32:04;4
07-06-2018 06:01:00;1
07-06-2018 07:14:03;33
07-06-2018 07:14:04;1
07-06-2018 07:22:02;33
07-06-2018 07:22:04;1
07-06-2018 09:38:12;2
07-06-2018 09:39:00;1
07-06-2018 09:44:16;2
07-06-2018 09:45:00;33
07-06-2018 09:45:04;1
07-06-2018 22:01:00;4
07-07-2018 01:43:04;36
07-07-2018 06:47:04;4
07-08-2018 02:08:03;36
07-08-2018 06:45:04;4
07-08-2018 15:42:00;1
07-08-2018 15:47:00;4
07-09-2018 06:01:00;1
07-09-2018 22:01:00;4
07-10-2018 06:01:00;1
07-10-2018 22:01:00;4
07-11-2018 06:00:28;1
07-11-2018 22:01:00;4
07-12-2018 04:04:04;36
07-12-2018 04:06:00;33
07-12-2018 04:08:05;1
07-12-2018 04:10:00;4
07-12-2018 04:10:03;36
07-12-2018 04:12:00;33
07-12-2018 06:35:03;1
07-12-2018 09:32:07;1
07-12-2018 10:14:22;2
07-12-2018 10:14:59;33
07-12-2018 10:15:04;1
07-12-2018 12:33:52;33
07-12-2018 12:33:57;1
07-12-2018 12:34:01;33
07-12-2018 12:34:05;1
07-12-2018 22:01:00;4
07-13-2018 06:01:00;1
07-13-2018 22:01:00;4
07-15-2018 12:53:00;1
07-15-2018 13:01:00;4
07-16-2018 06:01:00;1
07-16-2018 22:01:00;4
07-17-2018 06:01:00;1
07-17-2018 22:01:00;4
07-18-2018 06:01:00;1
