Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Ventilation mode;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Start pulse ventilation;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, NV Advance(TM) status
06-27-2018 06:00:00;0;4;-1;32
06-30-2018;0;5;-1;32
06-30-2018 00:00:01;0;5;-1;17
06-30-2018 06:00:00;0;3;-1;17
06-30-2018 06:00:01;0;3;-1;32
06-30-2018 22:00:00;0;5;-1;32
06-30-2018 22:00:01;0;5;-1;17
07-01-2018 06:00:00;0;3;-1;32
07-01-2018 22:00:00;0;5;-1;32
07-01-2018 22:00:01;0;5;-1;17
07-02-2018;0;4;-1;32
07-03-2018 22:00:00;0;5;-1;32
07-03-2018 22:00:01;0;5;0;17
07-03-2018 23:00:00;0;5;-1;17
07-03-2018 23:00:01;0;5;0;17
07-04-2018;0;5;-1;17
07-04-2018 00:00:01;0;5;0;17
07-04-2018 02:00:00;0;5;-1;17
07-04-2018 02:00:01;0;5;0;17
07-04-2018 03:00:00;0;5;-1;17
07-04-2018 03:00:01;0;5;0;17
07-04-2018 04:00:00;0;5;-1;17
07-04-2018 04:00:01;0;5;0;17
07-04-2018 05:00:00;0;5;-1;17
07-04-2018 05:00:01;0;5;0;17
07-04-2018 06:00:00;0;4;-1;17
07-04-2018 06:00:01;0;4;-1;32
07-04-2018 22:00:00;0;5;-1;32
07-04-2018 22:00:01;0;5;0;17
07-04-2018 23:00:00;0;5;-1;17
07-04-2018 23:00:01;0;5;0;17
07-05-2018;0;5;-1;17
07-05-2018 00:00:01;0;5;0;17
07-05-2018 01:00:00;0;5;-1;17
07-05-2018 01:00:01;0;5;0;17
07-05-2018 02:00:00;0;5;-1;17
07-05-2018 02:00:01;0;5;0;17
07-05-2018 03:00:00;0;5;-1;17
07-05-2018 03:00:01;0;5;0;17
07-05-2018 05:00:00;0;5;-1;17
07-05-2018 05:00:01;0;5;0;17
07-05-2018 06:00:00;0;4;-1;17
07-05-2018 06:00:01;0;4;-1;32
07-05-2018 09:43:49;1;4;-1;32
07-05-2018 09:43:51;3;4;-1;32
07-05-2018 09:43:52;6;4;-1;32
07-05-2018 09:43:53;9;4;-1;32
07-05-2018 09:43:54;11;4;-1;32
07-05-2018 09:43:56;14;4;-1;32
07-05-2018 09:43:57;16;4;-1;32
07-05-2018 09:43:58;19;4;-1;32
07-05-2018 09:44:00;21;4;-1;32
07-05-2018 09:44:01;24;4;-1;32
07-05-2018 09:44:02;26;4;-1;32
07-05-2018 09:44:03;29;4;-1;32
07-05-2018 09:44:04;31;4;-1;32
07-05-2018 09:44:06;34;4;-1;32
07-05-2018 20:07:11;34;3;-1;12
07-05-2018 20:09:00;34;4;-1;12
07-05-2018 20:11:25;34;4;-1;12
07-05-2018 20:56:00;34;4;-1;21
07-05-2018 21:00:00;34;4;-1;21
07-05-2018 21:00:01;34;4;0;21
07-05-2018 21:20:01;34;4;0;12
07-05-2018 21:42:00;34;4;0;21
07-05-2018 22:00:00;34;5;-1;21
07-05-2018 22:00:01;34;5;0;21
07-05-2018 22:11:01;34;5;0;12
07-05-2018 22:56:00;34;5;0;21
07-05-2018 23:00:00;34;5;-1;21
07-05-2018 23:00:01;34;5;0;21
07-05-2018 23:11:01;34;5;0;12
07-06-2018;34;5;-1;12
07-06-2018 00:00:01;34;5;0;12
07-06-2018 00:08:00;34;5;0;21
