Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Ventilation mode
06-27-2018 05:53:00;4
06-30-2018;5
06-30-2018 06:00:00;3
06-30-2018 22:00:00;5
07-01-2018 06:00:00;3
07-01-2018 22:00:00;5
07-02-2018;4
07-03-2018 22:00:00;5
07-04-2018 06:00:00;4
07-04-2018 22:00:00;5
07-05-2018 06:00:00;4
07-05-2018 20:07:11;3
07-05-2018 20:09:00;4
07-05-2018 22:00:00;5
07-06-2018 06:00:00;4
07-06-2018 09:38:12;4
07-06-2018 09:44:17;4
07-06-2018 22:00:00;5
07-07-2018 01:44:00;3
07-07-2018 22:00:00;5
07-08-2018 02:09:00;3
07-08-2018 15:41:02;4
07-08-2018 15:46:35;3
07-08-2018 22:00:00;5
07-09-2018 06:00:00;4
07-09-2018 22:00:00;5
07-10-2018 06:00:00;4
07-10-2018 22:00:00;5
07-11-2018 06:00:00;4
07-11-2018 22:00:00;5
07-12-2018 04:05:00;3
07-12-2018 04:09:00;5
07-12-2018 04:11:00;3
07-12-2018 06:36:00;4
07-12-2018 09:32:06;4
07-12-2018 10:14:22;4
07-12-2018 22:00:00;5
07-13-2018 06:00:00;4
07-13-2018 22:00:00;5
07-14-2018 06:00:00;3
07-14-2018 22:00:00;5
07-15-2018 06:00:00;3
07-15-2018 12:52:30;4
07-15-2018 13:00:37;3
07-15-2018 22:00:00;5
07-16-2018 06:00:00;4
07-16-2018 22:00:00;5
07-17-2018 06:00:00;4
07-17-2018 22:00:00;5
07-18-2018 06:00:00;4
07-18-2018 22:00:00;5
07-19-2018 02:57:00;3
07-19-2018 07:37:00;4
07-19-2018 22:00:00;5
07-20-2018 05:24:00;3
07-20-2018 05:25:00;5
07-20-2018 05:29:00;3
07-20-2018 05:30:00;5
07-20-2018 05:31:00;3
07-20-2018 05:36:00;5
07-20-2018 05:37:00;3
07-20-2018 06:16:00;4
07-20-2018 06:19:00;3
07-20-2018 06:20:00;4
07-20-2018 22:00:00;5
07-21-2018 03:53:00;3
07-21-2018 22:00:00;5
07-22-2018 06:00:00;3
07-22-2018 20:26:24;4
07-22-2018 20:31:25;3
07-22-2018 22:00:00;5
07-23-2018 06:00:00;4
07-23-2018 22:00:00;5
07-24-2018 06:00:00;4
07-24-2018 22:00:00;5
07-25-2018 06:00:00;4
